id ;descripcion
100-01;ACTAS
100-02;ACUERDOS
100-10;COMUNICACIONES OFICIALES
100-18;ESTATUTOS
200-01;ACTAS
200-05;CANDIDATOS
200-06;CERTIFICACIONES
200-07;CIRCULARES
200-10;COMUNICACIONES OFICIALES
200-15;DIRECTORIOS
200-26;MEMORANDOS
200-27;MILITANTES
200-36;RESOLUCIONES
210-10;COMUNICACIONES OFICIALES
220-10;COMUNICACIONES OFICIALES
220-14;DERECHOS DE PETICION
220-21;INFORMES
220-32;PROCESOS
220-39;TUTELAS
220-40;VENTANILLA UNICA
230-10;COMUNICACIONES OFICIALES
230-32;PROCESOS
240-10;COMUNICACIONES OFICIALES
240-33;PUBLICIDAD
250-10;COMUNICACIONES OFICIALES
300-04;CAJA MENOR
300-06;CERTIFICACIONES
300-10;COMUNICACIONES OFICIALES
300-12;CONTRATOS
300-13;CONVENIOS
300-19;FORMATOS
300-20;HISTORIAS LABORALES
300-21;INFORMES
300-22;INVENTARIOS
300-25;MANUALES
300-26;MEMORANDOS
300-35;REGLAMENTO INTERNO TRABAJO
310-10;COMUNICACIONES OFICIALES
310-21;INFORMES
320-10;COMUNICACIONES OFICIALES
320-16;DONACIONES
320-21;INFORMES
320-26;MEMORANDOS
330-03;AJUSTES CONTABLES
330-08;COMPRAS
330-10;COMUNICACIONES OFICIALES
330-11;CONCILIACIONES BANCARIAS
330-17;ESTADOS FINANCIEROS
330-21;INFORMES
330-23;LEGALIZACIONES
330-24;LIBROS OFICIALES
330-28;NOMINA
330-31;PARAFISCALES
330-37;RETENCION EN LA FUENTE
330-38;RUT
340-09;COMPROBANTES DE EGRESO
340-10;COMUNICACIONES OFICIALES
340-21;INFORMES
340-26;MEMORANDOS
340-29;PAGOS
340-34;RECIBOS DE CAJA
340-36;RESOLUCIONES
350-19;FORMATOS
350-19;INVENTARIOS
360-10;COMUNICACIONES OFICIALES
360-21;INFORMES
360-22;INVENTARIOS
360-30;PLANILLAS
370-19;FORMATOS
